#    energy (eV)  cross sec. (b)
1.000000e-05    1.130254e+03
1.103037e-05    1.076211e+03
1.216691e-05    1.024756e+03
1.342055e-05    9.757661e+02
1.480336e-05    9.291222e+02
1.632865e-05    8.847126e+02
1.801111e-05    8.424305e+02
1.986691e-05    8.021741e+02
2.191394e-05    7.638467e+02
2.417189e-05    7.273560e+02
2.666248e-05    6.926143e+02
2.940971e-05    6.595380e+02
3.243999e-05    6.280476e+02
3.578251e-05    5.980672e+02
3.946943e-05    5.695249e+02
4.353624e-05    5.423518e+02
4.802208e-05    5.164826e+02
5.297013e-05    4.918551e+02
5.842801e-05    4.684099e+02
6.444825e-05    4.460907e+02
7.108881e-05    4.248436e+02
7.841358e-05    4.046176e+02
8.649308e-05    3.853638e+02
9.540506e-05    3.670358e+02
1.052353e-04    3.495896e+02
1.160784e-04    3.329829e+02
1.280388e-04    3.171757e+02
1.412315e-04    3.021299e+02
1.557836e-04    2.878090e+02
1.718351e-04    2.741784e+02
1.895404e-04    2.612051e+02
2.090701e-04    2.488577e+02
2.306120e-04    2.371062e+02
2.543736e-04    2.259221e+02
2.805835e-04    2.152782e+02
3.094939e-04    2.051485e+02
3.413832e-04    1.955083e+02
3.765583e-04    1.863341e+02
4.153577e-04    1.776034e+02
4.581549e-04    1.692949e+02
5.053618e-04    1.613881e+02
5.574328e-04    1.538636e+02
6.148689e-04    1.467029e+02
6.782232e-04    1.398884e+02
7.481052e-04    1.334032e+02
8.251877e-04    1.272314e+02
9.166332e-04    1.209478e+02
1.018163e-03    1.149916e+02
1.130993e-03    1.093402e+02
1.256266e-03    1.039831e+02
1.395483e-03    9.889999e+01
1.550051e-03    9.408132e+01
1.721824e-03    8.950897e+01
1.912539e-03    8.517433e+01
2.124483e-03    8.106112e+01
2.359798e-03    7.716162e+01
2.621306e-03    7.346122e+01
2.911650e-03    6.995298e+01
3.234313e-03    6.662377e+01
3.592557e-03    6.346737e+01
3.990676e-03    6.047199e+01
4.432697e-03    5.763203e+01
4.923919e-03    5.493689e+01
5.469309e-03    5.238156e+01
6.075406e-03    4.995650e+01
6.748339e-03    4.765721e+01
7.496176e-03    4.547513e+01
8.326477e-03    4.340620e+01
9.249200e-03    4.144272e+01
1.027367e-02    3.958105e+01
1.141218e-02    3.781427e+01
1.267623e-02    3.613911e+01
1.408098e-02    3.454945e+01
1.564064e-02    3.304213e+01
1.749560e-02    3.151929e+01
1.957056e-02    3.007982e+01
2.189161e-02    2.871917e+01
2.448792e-02    2.743309e+01
2.524188e-02    2.709742e+01
2.530000e-02    2.707217e+01
2.830055e-02    2.587648e+01
3.165696e-02    2.474636e+01
3.541144e-02    2.367818e+01
3.961119e-02    2.266859e+01
4.430904e-02    2.171444e+01
4.956403e-02    2.081270e+01
5.583337e-02    1.990867e+01
6.289262e-02    1.905774e+01
7.084787e-02    1.825617e+01
7.980547e-02    1.750176e+01
8.990003e-02    1.679120e+01
1.012665e-01    1.612255e+01
1.140756e-01    1.549286e+01
1.294051e-01    1.486654e+01
1.467946e-01    1.427919e+01
1.665209e-01    1.372845e+01
1.888980e-01    1.321212e+01
2.157832e-01    1.270225e+01
2.465069e-01    1.222598e+01
2.815913e-01    1.178155e+01
3.216849e-01    1.136664e+01
3.700612e-01    1.096007e+01
4.257126e-01    1.058239e+01
4.931635e-01    1.021505e+01
5.713295e-01    9.875401e+00
6.618524e-01    9.562470e+00
7.721263e-01    9.260960e+00
9.007735e-01    8.985290e+00
1.058268e+00    8.723498e+00
1.243238e+00    8.488031e+00
1.470842e+00    8.270377e+00
1.740113e+00    8.082603e+00
2.058681e+00    7.927848e+00
2.418628e+00    7.816435e+00
2.821605e+00    7.753688e+00
3.065713e+00    7.743155e+00
3.477684e+00    7.771807e+00
3.890133e+00    7.859556e+00
4.260904e+00    7.995000e+00
4.602311e+00    8.177623e+00
4.901677e+00    8.393910e+00
5.184201e+00    8.657618e+00
5.444870e+00    8.964517e+00
5.678589e+00    9.305757e+00
5.880855e+00    9.663221e+00
6.047962e+00    1.001215e+01
6.219818e+00    1.043209e+01
6.352062e+00    1.080534e+01
6.486801e+00    1.123960e+01
6.624722e+00    1.174986e+01
6.765243e+00    1.235181e+01
6.860689e+00    1.281652e+01
6.957481e+00    1.334153e+01
7.055638e+00    1.393718e+01
7.155181e+00    1.461657e+01
7.256127e+00    1.539772e+01
7.358498e+00    1.630178e+01
7.436360e+00    1.707737e+01
7.514953e+00    1.795004e+01
7.594285e+00    1.893664e+01
7.674358e+00    2.005764e+01
7.755562e+00    2.134513e+01
7.810079e+00    2.230860e+01
7.864979e+00    2.337085e+01
7.920266e+00    2.454590e+01
7.975940e+00    2.585028e+01
8.032006e+00    2.730387e+01
8.088466e+00    2.893021e+01
8.145323e+00    3.075795e+01
8.202579e+00    3.282241e+01
8.245723e+00    3.454936e+01
8.289271e+00    3.646316e+01
8.332819e+00    3.857130e+01
8.376776e+00    4.092379e+01
8.420939e+00    4.354729e+01
8.465101e+00    4.647095e+01
8.509886e+00    4.979141e+01
8.554671e+00    5.352983e+01
8.584528e+00    5.628967e+01
8.614806e+00    5.933703e+01
8.645084e+00    6.266519e+01
8.675362e+00    6.630964e+01
8.705640e+00    7.031165e+01
8.736346e+00    7.478489e+01
8.767051e+00    7.973486e+01
8.797756e+00    8.523181e+01
8.828461e+00    9.135940e+01
8.851815e+00    9.650323e+01
8.875169e+00    1.021214e+02
8.898523e+00    1.082741e+02
8.921877e+00    1.150313e+02
8.945230e+00    1.224750e+02
8.968804e+00    1.307829e+02
8.992487e+00    1.400504e+02
9.016170e+00    1.503823e+02
9.039854e+00    1.619482e+02
9.055643e+00    1.704441e+02
9.071432e+00    1.796506e+02
9.089449e+00    1.911307e+02
9.104635e+00    2.017116e+02
9.119820e+00    2.132250e+02
9.135005e+00    2.257847e+02
9.150190e+00    2.395221e+02
9.164857e+00    2.540510e+02
9.178484e+00    2.688038e+02
9.192112e+00    2.849157e+02
9.205740e+00    3.025602e+02
9.219368e+00    3.219396e+02
9.232996e+00    3.432907e+02
9.244352e+00    3.627895e+02
9.255709e+00    3.840388e+02
9.267065e+00    4.072564e+02
9.278422e+00    4.326949e+02
9.289778e+00    4.606490e+02
9.300377e+00    4.893125e+02
9.310598e+00    5.196180e+02
9.320819e+00    5.528865e+02
9.331040e+00    5.895169e+02
9.341261e+00    6.299750e+02
9.351860e+00    6.765592e+02
9.359431e+00    7.131059e+02
9.367002e+00    7.527168e+02
9.374573e+00    7.957310e+02
9.382144e+00    8.425305e+02
9.389715e+00    8.935447e+02
9.397286e+00    9.492555e+02
9.404857e+00    1.010202e+03
9.412050e+00    1.073497e+03
9.418864e+00    1.138833e+03
9.425678e+00    1.209935e+03
9.432491e+00    1.287375e+03
9.439305e+00    1.371768e+03
9.446119e+00    1.463767e+03
9.452933e+00    1.564062e+03
9.459747e+00    1.673364e+03
9.466940e+00    1.799316e+03
9.474510e+00    1.944551e+03
9.482081e+00    2.103711e+03
9.489653e+00    2.277682e+03
9.497224e+00    2.467227e+03
9.504794e+00    2.672929e+03
9.512365e+00    2.895129e+03
9.519937e+00    3.133858e+03
9.527508e+00    3.388767e+03
9.535078e+00    3.659064e+03
9.546435e+00    4.090366e+03
9.561577e+00    4.702418e+03
9.588833e+00    5.831127e+03
9.602460e+00    6.355100e+03
9.611546e+00    6.669157e+03
9.620631e+00    6.944567e+03
9.628716e+00    7.150448e+03
9.636801e+00    7.314067e+03
9.644886e+00    7.431262e+03
9.652972e+00    7.499004e+03
9.659581e+00    7.516380e+03
9.667445e+00    7.492097e+03
9.673578e+00    7.439647e+03
9.681379e+00    7.331895e+03
9.689181e+00    7.180745e+03
9.696983e+00    6.989856e+03
9.705047e+00    6.755518e+03
9.713376e+00    6.479975e+03
9.725868e+00    6.017377e+03
9.741767e+00    5.376144e+03
9.764480e+00    4.440674e+03
9.775836e+00    3.993507e+03
9.787193e+00    3.572709e+03
9.794764e+00    3.309840e+03
9.802335e+00    3.062431e+03
9.809906e+00    2.831088e+03
9.817477e+00    2.616008e+03
9.825048e+00    2.417049e+03
9.832619e+00    2.233792e+03
9.840190e+00    2.065606e+03
9.847761e+00    1.911708e+03
9.855332e+00    1.771209e+03
9.861767e+00    1.661615e+03
9.868203e+00    1.560425e+03
9.874638e+00    1.467046e+03
9.881073e+00    1.380895e+03
9.887509e+00    1.301414e+03
9.893944e+00    1.228065e+03
9.900379e+00    1.160343e+03
9.906815e+00    1.097774e+03
9.914386e+00    1.030166e+03
9.921957e+00    9.684245e+02
9.929528e+00    9.119532e+02
9.937099e+00    8.602159e+02
9.944670e+00    8.127319e+02
9.952241e+00    7.690717e+02
9.959812e+00    7.288527e+02
9.967383e+00    6.917343e+02
9.978739e+00    6.412176e+02
9.990096e+00    5.961203e+02
1.000145e+01    5.557015e+02
1.001281e+01    5.193386e+02
1.002417e+01    4.865066e+02
1.003552e+01    4.567619e+02
1.004688e+01    4.297274e+02
1.005823e+01    4.050818e+02
1.006959e+01    3.825499e+02
1.008095e+01    3.618950e+02
1.009320e+01    3.414758e+02
1.010726e+01    3.201742e+02
1.012131e+01    3.008590e+02
1.013536e+01    2.832889e+02
1.014942e+01    2.672581e+02
1.016347e+01    2.525908e+02
1.017767e+01    2.390052e+02
1.019186e+01    2.265215e+02
1.021079e+01    2.113911e+02
1.022972e+01    1.977777e+02
1.024817e+01    1.857764e+02
1.026615e+01    1.751415e+02
1.028413e+01    1.654287e+02
1.030212e+01    1.565334e+02
1.032010e+01    1.483657e+02
1.033808e+01    1.408478e+02
1.036505e+01    1.306441e+02
1.039219e+01    1.215075e+02
1.041965e+01    1.132491e+02
1.044712e+01    1.058481e+02
1.047458e+01    9.918944e+01
1.050205e+01    9.317683e+01
1.052952e+01    8.772904e+01
