#    energy (eV)  cross sec. (b)
1.368934e+01    3.640376e+03
1.371442e+01    3.883012e+03
1.373949e+01    4.150412e+03
1.376457e+01    4.446006e+03
1.378964e+01    4.773828e+03
1.381472e+01    5.138645e+03
1.383979e+01    5.546108e+03
1.385651e+01    5.844720e+03
1.387322e+01    6.167569e+03
1.388994e+01    6.517271e+03
1.390666e+01    6.896789e+03
1.392337e+01    7.309488e+03
1.394009e+01    7.759196e+03
1.395681e+01    8.250277e+03
1.397352e+01    8.787715e+03
1.398773e+01    9.285222e+03
1.400528e+01    9.957642e+03
1.402284e+01    1.070201e+04
1.404039e+01    1.152813e+04
1.405794e+01    1.244722e+04
1.407549e+01    1.347216e+04
1.408803e+01    1.427709e+04
1.410057e+01    1.514937e+04
1.411310e+01    1.609538e+04
1.412564e+01    1.712201e+04
1.413818e+01    1.823658e+04
1.415072e+01    1.944676e+04
1.416325e+01    2.076047e+04
1.417579e+01    2.218572e+04
1.418833e+01    2.373034e+04
1.420087e+01    2.540166e+04
1.421340e+01    2.720616e+04
1.422594e+01    2.914889e+04
1.423848e+01    3.123298e+04
1.425102e+01    3.345888e+04
1.426773e+01    3.664178e+04
1.428445e+01    4.005260e+04
1.430952e+01    4.551552e+04
1.435466e+01    5.574532e+04
1.437221e+01    5.953162e+04
1.438976e+01    6.300162e+04
1.440731e+01    6.600906e+04
1.441901e+01    6.768806e+04
1.443072e+01    6.906315e+04
1.444428e+01    7.023639e+04
1.445584e+01    7.085444e+04
1.446980e+01    7.111056e+04
1.448379e+01    7.082296e+04
1.449483e+01    7.021809e+04
1.450749e+01    6.913175e+04
1.452339e+01    6.721815e+04
1.453930e+01    6.476927e+04
1.455520e+01    6.188193e+04
1.457641e+01    5.753378e+04
1.461460e+01    4.901168e+04
1.464218e+01    4.289211e+04
1.466057e+01    3.902636e+04
1.467728e+01    3.572477e+04
1.469400e+01    3.265487e+04
1.471072e+01    2.982987e+04
1.472325e+01    2.787324e+04
1.473579e+01    2.605299e+04
1.474833e+01    2.436456e+04
1.476087e+01    2.280196e+04
1.477340e+01    2.135822e+04
1.478594e+01    2.002583e+04
1.479848e+01    1.879705e+04
1.481101e+01    1.766416e+04
1.482355e+01    1.661963e+04
1.483609e+01    1.565626e+04
1.484863e+01    1.476725e+04
1.486116e+01    1.394624e+04
1.487495e+01    1.311466e+04
1.488875e+01    1.235108e+04
1.490254e+01    1.164899e+04
1.491633e+01    1.100249e+04
1.493472e+01    1.021792e+04
1.494976e+01    9.634766e+03
1.496481e+01    9.098765e+03
1.497985e+01    8.605200e+03
1.499489e+01    8.149891e+03
1.500994e+01    7.729128e+03
1.503251e+01    7.155654e+03
1.505507e+01    6.642966e+03
1.507179e+01    6.297570e+03
1.508851e+01    5.978230e+03
1.511358e+01    5.542678e+03
1.513866e+01    5.152904e+03
1.516373e+01    4.802802e+03
1.518881e+01    4.487234e+03
1.521388e+01    4.201850e+03
1.523895e+01    3.942957e+03
1.526403e+01    3.707400e+03
1.528910e+01    3.492478e+03
1.531418e+01    3.295864e+03
1.533925e+01    3.115549e+03
1.537269e+01    2.897504e+03
1.540612e+01    2.701838e+03
1.543955e+01    2.525601e+03
1.546724e+01    2.392573e+03
1.550015e+01    2.247883e+03
1.553306e+01    2.116134e+03
1.556597e+01    1.995828e+03
1.559888e+01    1.885681e+03
1.563179e+01    1.784591e+03
1.566940e+01    1.678925e+03
1.570701e+01    1.582602e+03
1.574463e+01    1.494552e+03
1.578224e+01    1.413845e+03
1.583239e+01    1.316279e+03
1.587427e+01    1.242532e+03
1.591615e+01    1.174981e+03
1.594407e+01    1.133054e+03
1.599991e+01    1.055871e+03
1.605575e+01    9.865738e+02
1.611238e+01    9.232866e+02
1.616901e+01    8.661289e+02
1.622564e+01    8.143312e+02
1.628227e+01    7.672415e+02
1.633970e+01    7.237264e+02
1.639713e+01    6.839887e+02
1.645456e+01    6.476051e+02
1.651198e+01    6.142064e+02
1.657022e+01    5.830506e+02
1.662846e+01    5.543361e+02
